time, sensor_id, node_x, node_y, T_in, T_out, signal_strength,
200.736, 1, 4.62, 1.21, 16.4194, 8.4798, 1.93904, 
200.864, 1, 4.62, 1.21, 16.4075, 8.55484, 1.94525, 
200.992, 1, 4.62, 1.21, 16.9234, 8.65167, 1.95122, 
201.12, 1, 4.62, 1.21, 17.1633, 9.05686, 1.95697, 
201.248, 1, 4.62, 1.21, 17.1055, 8.20983, 1.96248, 
201.376, 1, 4.62, 1.21, 16.442, 8.44429, 1.96775, 
201.504, 1, 4.62, 1.21, 16.7835, 9.06535, 1.97278, 
201.632, 1, 4.62, 1.21, 16.1181, 8.23877, 1.97756, 
201.76, 1, 4.62, 1.21, 16.4662, 8.72117, 1.98208, 
201.888, 1, 4.62, 1.21, 16.2532, 9.04329, 1.98635, 
202.016, 1, 4.62, 1.21, 16.5904, 9.01997, 1.99037, 
202.144, 1, 4.62, 1.21, 17.2081, 8.54665, 1.99412, 
202.272, 1, 4.62, 1.21, 16.1722, 8.89312, 1.99761, 
202.4, 1, 4.62, 1.21, 16.6535, 8.33303, 2.00082, 
202.528, 1, 4.62, 1.21, 17.0495, 8.56619, 2.00377, 
202.656, 1, 4.62, 1.21, 16.7842, 8.34586, 2.00645, 
202.784, 1, 4.62, 1.21, 17.0233, 8.81794, 2.00885, 
202.912, 1, 4.62, 1.21, 16.8452, 8.20799, 2.01097, 
203.04, 1, 4.62, 1.21, 16.7169, 8.77156, 2.01281, 
203.168, 1, 4.62, 1.21, 16.6247, 8.34387, 2.01438, 
203.296, 1, 4.62, 1.21, 16.5481, 8.77123, 2.01566, 
203.424, 1, 4.62, 1.21, 16.1804, 8.40276, 2.01666, 
203.552, 1, 4.62, 1.21, 16.3737, 8.59138, 2.01737, 
203.68, 1, 4.62, 1.21, 16.8689, 8.32025, 2.0178, 
203.808, 1, 4.62, 1.21, 16.9481, 8.4874, 2.01795, 
203.936, 1, 4.62, 1.21, 17.0023, 8.80315, 2.01781, 
204.064, 1, 4.62, 1.21, 16.8651, 8.41717, 2.01739, 
204.192, 1, 4.62, 1.21, 16.2853, 8.57913, 2.01668, 
204.32, 1, 4.62, 1.21, 16.1955, 8.55691, 2.01569, 
